Name,Type,Method,Base,Target,Data,Output,Description,Git/Other Link,Publication,Presentation,AI,Country,Regional Scale,Field Validation,Email
Anopheles Spatially Explicit (ANOSPEX),Package,"Stochastic, Spatially Explicit Model",C++,Malaria,"Mosquito population dynamics, Hourly weather data",Number of female Anopheles mosquito,"Mathematical model to simulate Anopheles mosquito dynamics, aiding in the development and evaluation of strategies to control malaria transmission, considering environmental factors and field data.",https://github.com/oluwagbemi/AnoSpEx,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0068040,,No,Zambia,Not known,Yes,
Arbovirus Mapping and Prediction System (ArboMAP) ,Software,Generalized linear model,R,West Nile Virus,"Mosquito infection, Daily weather, Long-range weather forecast, Human WNV cases",Human WNV case occurrence,"A software suite to model and predict mosquito-borne diseases, particularly arboviruses transmitted by mosquitoes, six weeks prior to peak transmission.",https://github.com/EcoGRAPH/ArboMAP,http://ecograph.net/arbomap/,https://appliedsciences.nasa.gov/sites/default/files/2022-10/A17_Wimberly_HAQ2022.pdf,No,United States,Not known,Yes,
Epigraph- Albopictus package,Package,Discrete-time stochastic susceptible / exposed / infected / recovered / chronic-stage (SEIRC) model,R,Chikungunya,"Chikungunya surveillance data, environment data","Vector abundance, Total number of infections, Outbreak risk",An Albopictus-borne chikungunya outbreak risk prediction and stratification tool.,https://github.com/kerguler/albopictus,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0174293,,No,Italy,Europe,Yes,
Container-Inhabiting Mosquito Simulation Model (CIMSiM),Package,Dynamic life table simulation,C++,Dengue,"Local meteorological data, Mosquito food availability, Availability of various breeding sites (containers) and Human demographic data",Ae. albopictus population,A weather-driven dynamic life-table model of container-inhabiting mosquitoes such as Aedes aegypti.,https://github.com/andygarcia/denmod,https://academic.oup.com/jme/article-abstract/30/6/1018/2221331?redirectedFrom=fulltext,https://unfccc.int/files/adaptation/methodologies_for/vulnerability_and_adaptation/application/pdf/cimsim_and_densim__dengue_simulation_model_.pdf,No,"Australia, China, Columbia, Honduras, Malaysia, Puerto Rico, Thailand, United States",Latin America,Yes,DAFocks@ID-Analysis.com
Dengue simulation model (DENSiM),Package,Dynamic life table simulation,C++,Dengue,"Ae. albopictus population output of CIMSiM, Temperature, Rainfall, Saturation deficit, and Human population data","Dengue cases, Dengue outbreak prediction",A Dengue simulation model based on CIMSiM,https://github.com/andygarcia/denmod,https://www.ajtmh.org/view/journals/tpmd/53/5/article-p489.xml,https://unfccc.int/files/adaptation/methodologies_for/vulnerability_and_adaptation/application/pdf/cimsim_and_densim__dengue_simulation_model_.pdf,No,"Australia, China, Columbia, Honduras, Malaysia, Puerto Rico, Thailand, United States",Latin America,Yes,DAFocks@ID-Analysis.com
Dengue Disease Prediction and Diagnosis Model (DDPM),Model,Random Forest ,Not known,Dengue,"Dengue data of Predict the Next Pandemic Initiative, Weather data","Dengue cases, Dengue outbreak prediction",A dengue outbreak prediction model,,https://www.mdpi.com/2075-4418/13/6/1093,,Yes,,,No,as.ude.unp@halludbalaib
Skeeter Buster 2 (SB2),Model,,,Dengue,,,,,,,,,,,
Data-integrated Intelligent System for Health Adaptation (DISHA),Platform,Pyramid and Deep Ensemble,Python,General Infectious Diseases,"Global meteorological data, population data, environment and land data, national disease surveillance data, mobility data",,,,,,Yes,Indonesia,Asia,No,kaushik.sarkar@forecastinghealthyfutures.org
Malaria Prediction and Planning Toolkit,Platform,LSTM and Deep ensemble ,Python,Malaria,"Global meteorological data, population data, environment and land data, malaria epi data, health program and operations data",,,,,,Yes,India,Not known,Yes,kaushik.sarkar@forecastinghealthyfutures.org
Disease Monitoring Dashboard,,,,West Nile Virus,,,The application to West Nile disease in the Mediterranean basin,https://www.arcgis.com/apps/dashboards/2f3fdf74c21242d3932d7f2281640e4d,,, ,,,,
